dysfunction,Maturity,Solutions,Impacts
L'équipe se remet rarement en cause,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe se remet rarement en cause,Niveau 2,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
L'équipe se remet rarement en cause,Niveau 3,Atelier du Chaos,L'équipe est en mesure de gérer les événements non prévus sans stress et de mesurer la fiabilité de leurs processus et de leur produit.
L'équipe se remet rarement en cause,Nextoo,,
L'équipe dit oui à tout,Niveau 1,Zone d'atterrissage backlog,L'équipe est consciente des prochaines priorités et de sa capacité à réaliser les choses.
L'équipe dit oui à tout,Niveau 2,WIP Limit,Permettre d'identifier les blocages dans le flux de travail et de permettre une meilleure collaboration au sein de l'équipe
L'équipe dit oui à tout,Nextoo,GPS, GPS (grille de programmation Solidaire) permet jusqu’à 9 participants par table d’éprouver leurs capacités à atteindre leurs objectifs dans un monde rempli de distractions.
L'équipe ne se sent pas responsable,Niveau 0,Global,Grille de Programmation Solidaire
L'équipe ne se sent pas responsable,Niveau 1,Redéfinition des rôles,Redéfinir l'ensemble des rôles de l'ensemble des membres de l'équipe
L'équipe ne se sent pas responsable,Niveau 2,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe ne se sent pas responsable,Niveau 3,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
L'équipe ne se sent pas responsable,Nextoo,,
Des membres de l'équipe font de la rétention d'information,Niveau 0,Global,Impact global attendu : Avoir une meilleure transparence ainsi qu'un alignement de l'équipe sur son fonctionnement et sa valeur
Des membres de l'équipe font de la rétention d'information,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
Des membres de l'équipe font de la rétention d'information,Niveau 2,Management visuel,"Permettre à l'ensemble de l'équipe d'avoir une visuel sur la vision produit, l'équipe, les objectifs, la roadmap"
Des membres de l'équipe font de la rétention d'information,Nextoo,,
L'équipe est déresponsabilisée,Niveau 0,Global,Impact global attendu : Rendre à l'équipe son autonomie ainsi que ses responsabilités
L'équipe est déresponsabilisée,Niveau 1,Redéfinition des rôles,Redéfinir l'ensemble des rôles de l'ensemble des membres de l'équipe
L'équipe est déresponsabilisée,Niveau 2,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe est déresponsabilisée,Niveau 3,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
L'équipe est déresponsabilisée,Nextoo,,
L'équipe n'anticipe pas suffisamment,Niveau 1,WIP Limit,Permettre d'identifier les blocages dans le flux de travail et de permettre une meilleure collaboration au sein de l'équipe
L'équipe n'anticipe pas suffisamment,Niveau 2,Atelier du Chaos,L'équipe est en mesure de gérer les événements non prévus sans stress et de mesurer la fiabilité de leurs processus et de leur produit.
L'équipe n'anticipe pas suffisamment,Nextoo,La corde carrée (par Nextoo),"Une corde, des participants avec les yeux bandés... vont-ils réussir à en faire un carré?"
L'équipe n'anticipe pas suffisamment,Nextoo 2,Lego vision (par Nextoo),Avancons nous dans le bon sens? Avons nous tous les éléments pour créer le produit attendu? LegoVision nous fourni des clefs pour répondre à ces questions.
L'équipe est trop grande,Niveau 0,Global,Impact global attendu : Clarifier le rôle et la responsabilité de chacun afin de connaitre les potentiels doublons ou absence de rôle pour savoir si une équipe est trop grande
L'équipe est trop grande,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe est trop grande,Niveau 2,Trou dans la Raquette by Argios,Connaitre les faiblesses dans la mise en place d'un processus de production et l'objectif est de les combler par un binôme ou une montée en compétences individuelles.
L'équipe est trop grande,Niveau 3,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
L'équipe est trop grande,Niveau 4,RH,Prendre une décision si l'équipe est considérée trop grande
L'équipe est trop grande,Nextoo,,
La valeur du produit / service reste abstraite pour l'équipe,Niveau 0,Global,Impact global attendu : Votre équipe aura une meilleure compréhension fonctionnelle des besoins utilisateurs et ils auront un retour régulier de ces derniers.
La valeur du produit / service reste abstraite pour l'équipe,Niveau 1,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La valeur du produit / service reste abstraite pour l'équipe,Niveau 2,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
La valeur du produit / service reste abstraite pour l'équipe,Niveau 3,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
La valeur du produit / service reste abstraite pour l'équipe,Nextoo,,
L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,Niveau 0,Global,Impact global attendu : Les priorités ont été clarifiées dont les sujets laissés de côté et l'équipe est consciente de sa capacité à réaliser les choses
L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,Niveau 1,Atelier de priorisation,"Clarifier les priorités de l'équipe et à se concentrer sur les tâches les plus importantes, ce qui améliore l'efficacité et la productivité globale de l'équipe"
L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,Niveau 2,Zone d'atterrissage backlog,L'équipe est consciente des prochaines priorités et de sa capacité à réaliser les choses.
L'équipe n'arrive pas à prioriser les sujets ou les lacunes accumulées,Nextoo,,
Vague de nouveaux arrivés,Niveau 0,Global,Impact global attendu : Permettre de connaitre les raisons du turnover trop important
Vague de nouveaux arrivés,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
Vague de nouveaux arrivés,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Vague de nouveaux arrivés,Niveau 3,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Vague de nouveaux arrivés,Nextoo,,
Le comportement d'un individu dérange l'équipe,Niveau 1,E-diagnostic RH,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
Le comportement d'un individu dérange l'équipe,Nextoo,,
L'équipe ne s'adapte pas assez au changement,Niveau 0,Global,Impact global attendu : Permettre à l'équipe de mettre en place des démarches d'amélioration continue par rapport à son fonctionnement et à la valeur qu'elle délivre
L'équipe ne s'adapte pas assez au changement,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
L'équipe ne s'adapte pas assez au changement,Niveau 2,Test & Learn,Permettre de développer rapidement de nouvelles idées et de s'adapter rapidement aux changements dans le marché ou les besoins des utilisateurs. Cela permet à l'entreprise d'être plus agile et compétitive
L'équipe ne s'adapte pas assez au changement,Nextoo,,
L'équipe est bridée par le management,Niveau 0,Global,Impact global attendu : Connaître les niveaux d'autonomie et de responsabilité de chacun dans la réalisation de tâches spécifiques
L'équipe est bridée par le management,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe est bridée par le management,Niveau 2,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
L'équipe est bridée par le management,Nextoo,,
L'équipe n'a pas de feedback,Niveau 0,Global,Impact global attendu : Permettre à l'équipe d'obtenir des retours sur son mode de fonctionnement et la valeur qu'elle délivre
L'équipe n'a pas de feedback,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe n'a pas de feedback,Niveau 2,Review,Prise en compte des retours utilisateurs afin de comprendre le sens de leur besoin
L'équipe n'a pas de feedback,Nextoo,,
Les individus sont résignés,Niveau 0,Global,Impact global attendu : Donner du sens à ce que fait l'équipe et pourquoi elle le fait
Les individus sont résignés,Niveau 1,Team Building,Renforcer la cohésion et la collaboration au sein d'une équipe
Les individus sont résignés,Niveau 2,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Les individus sont résignés,Niveau 3,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Les individus sont résignés,Nextoo,,
Les membres de l'équipe ont des non-dits,Niveau 0,Global,Impact global attendu : Améliorer la communication autour des problématiques que l'équipe rencontre tout en apportant une démarche d'amélioration continue
Les membres de l'équipe ont des non-dits,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
Les membres de l'équipe ont des non-dits,Niveau 2,E-diagnostic RH,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
Les membres de l'équipe ont des non-dits,Nextoo,,
Un des membres de l'équipe se met trop en avant sur son domaine de compétences,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
Un des membres de l'équipe se met trop en avant sur son domaine de compétences,Nextoo,T-Shaped Competence,"Explorons ensemble la notion de T-Shaped Competence comme nous le propose la carte ""Agile Topic"" numéro 16 de Jimmy Janlén."
L'équipe prend trop de risques,Niveau 0,Global,Impact global attendu :
L'équipe prend trop de risques,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe prend trop de risques,Niveau 2,Atelier du Chaos,L'équipe est en mesure de gérer les événements non prévus sans stress.
L'équipe prend trop de risques,Nextoo,,
L'équipe a trop de leaders,Niveau 0,Global,Impact global attendu : Permettre une identification de chaque membre concernant son autonomie et sa responsabilité dans l'équipe
L'équipe a trop de leaders,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe a trop de leaders,Niveau 2,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
L'équipe a trop de leaders,Nextoo,La corde carrée (par Nextoo),"Une corde, des participants avec les yeux bandés... vont-ils réussir à en faire un carré?"
L'équipe a trop de leaders,Nextoo,Stringball (par Nextoo),Montrer les interactions qui se mettent en place lorsqu’une équipe doit atteindre un objectif dans un contexte challengeant.
L'équipe a trop de leaders,Nextoo 2,Space Team,"Une interface avec des boutons et potentiomètres, des instructions qui ne correspondent pas??? Comment traverser cette pluie d'astéroïdes dans ces conditions?"
L'équipe a trop de leaders,Nextoo 3,Keep talking and nobody explodes,"Déminons une bombe en mettant en place la bonne communication. Qu'elle soit efficace! Qu'elle fasse preuve de transparence en donnant de la visibilité! Le tout en utilisant le jeu vidéo ""Keep Talking and Nobody Explodes""."
L'équipe est abandonnée,Niveau 0,Global,Impact global attendu : Permettre de connaitre le degré d'autonomie de l'équipe ainsi que la raison d'être de l'équipe au sein de son organisation
L'équipe est abandonnée,Niveau 1,Review,Prise en compte des retours utilisateurs et des parties prenantes afin de comprendre le sens de leurs besoins.
L'équipe est abandonnée,Niveau 2,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
L'équipe est abandonnée,Niveau 3,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
L'équipe est abandonnée,Nextoo,,
Majorité de membres individualistes,Niveau 0,Global,Impact global attendu : Obtenir un objectif commun pour l'ensemble de l'équipe tout en améliorant la communication et la responsabilisation de cette dernière
Majorité de membres individualistes,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
Majorité de membres individualistes,Niveau 2,Trou dans la Raquette by Argios,Connaître les faiblesses dans la mise en place d'un processus de production et l'objectif est de les combler par un binôme ou une montée en compétences individuelles.
Majorité de membres individualistes,Niveau 3,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Majorité de membres individualistes,Nextoo,La crevasse,Un classique de l'animation de groupe. La crevasse nous met à l'épreuve de la confiance et de l'astuce collective.
Majorité de membres individualistes,Nextoo 2,The Tower of Power,Atelier de groupe ludique et collaboratif. Tower of Power propose une activité physique de manipulation de blocs afin d'en construire une tour. L'équipe réussira-t-elle le défi? Qu'en apprendra-t-elle?
L'équipe gère trop de produits / services,Niveau 0,Global,Impact global attendu : Connaitre la capacité de l'équipe ainsi qu'une clarification des priorités
L'équipe gère trop de produits / services,Niveau 1,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la responsabilisation et l'amélioration continue."
L'équipe gère trop de produits / services,Niveau 2,Gestion du backlog,Permettre une visibilité du backlog
L'équipe gère trop de produits / services,Niveau 3,Atelier de priorisation,"Clarifier les priorités de l'équipe et à se concentrer sur les tâches les plus importantes, ce qui améliore l'efficacité et la productivité globale de l'équipe"
L'équipe gère trop de produits / services,Nextoo,,
L'équipe n'a pas de leader,Niveau 0,Global,Impact global attendu : Permettre une identification de chaque membre concernant son autonomie et sa responsabilité dans l'équipe
L'équipe n'a pas de leader,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
L'équipe n'a pas de leader,Niveau 2,E-diagnostic Leadership,"Pour ce dysfonctionnement, nous avons besoin d'approfondir avec un autre e-diagnostic qui n'est pas encore disponible afin d'en connaitre les raisons. Ces raisons peuvent être diverses et variées mais tout à fait normal en fonction de votre contexte."
L'équipe n'a pas de leader,Nextoo,Stringball,Montrer les interactions qui se mettent en place lorsqu’une équipe doit atteindre un objectif dans un contexte challengeant.
L'équipe n'a pas de leader,Nextoo 2,The Tower of Power,Atelier de groupe ludique et collaboratif. Tower of Power propose une activité physique de manipulation de blocs afin d'en construire une tour. L'équipe réussira-t-elle le défi? Qu'en apprendra-t-elle?
L'équipe dit non à tout,Niveau 0,Global,Impact global attendu : Permettre une identification de chaque membre concernant son autonomie et sa responsabilité dans l'équipe ainsi qu'une meilleure compréhension fonctionnel du produit qu'elle construit
L'équipe dit non à tout,Niveau 1,Gestion du backlog,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant son degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques."
L'équipe dit non à tout,Niveau 2,Wip Limit,Permettre d'identifier les blocages dans le flux de travail et de permettre une meilleure collaboration au sein de l'équipe
L'équipe dit non à tout,Niveau 3,Rétrospective,"Amélioration du travail en équipe en favorisant l'alignement, la communication, la prise de responsabilité et l'amélioration continue."
L'équipe dit non à tout,Nextoo,,
L'équipe n'ose pas,Niveau 0,Global,Impact global attendu : Permettre à l'équipe d'obtenir des retours et d'expérimenter des nouvelles solutions par rapport aux besoins des utilisateurs
L'équipe n'ose pas,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'équipe n'ose pas,Niveau 2,Test & Learn,Permettre de développer rapidement de nouvelles idées et de s'adapter rapidement aux changements dans le marché ou les besoins des utilisateurs. Cela permet à l'entreprise d'être plus agile et compétitive
L'équipe n'ose pas,Nextoo,,
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 0,Global,Impact global attendu : Vous avez une approche user centric en effet vous connaissez vos utilisateurs et leurs spécificités tout en ayant une approche qui limite les investissements supplémentaires
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 1,Persona,Obtenir une représentation des utilisateurs afin de mieux cibler les fonctionnalités à mettre en place
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 2,User Journey,Obtenir un parcours de l'interaction de l'utilisateur sur votre produit et/ou service afin de connaitre au mieux les améliorations à apporter et aussi de savoir ce qu'il fonctionne bien.
Pas d'enquête au préalable auprès de l'utilisateur,Niveau 3,Experiment AB Test,Création d'hypothèses UX à faire tester par les utilisateurs
Trop de temps passé sur la 1ere version,Niveau 0,Global,"Impact global attendu : Le produit sera de meilleure qualité et répondra aux besoins des utilisateurs tout en minimisant les coûts et le temps de développement. Cela peut se traduire par une meilleure satisfaction client, une réduction des coûts de développement et une accélération de la mise sur le marché ou en interne"
Trop de temps passé sur la 1ere version,Niveau 1,Story Mapping,Permettre de mieux comprendre les besoins des utilisateurs et de prioriser les fonctionnalités à développer. Cela permet de créer une vision partagée du produit et de faciliter la communication entre les différentes équipes impliquées dans le développement.
Trop de temps passé sur la 1ere version,Niveau 2,MVP,Permettre d'avoir plusieurs versions du produit et de limiter le risque d'échec
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 0,Global,"Impact global attendu : Cela peut conduire à une meilleure satisfaction des utilisateurs, une meilleure rétention des utilisateurs, une réduction des coûts de développement et une amélioration globale de la qualité du produit"
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
L'utilisateur n'a pas moyen de remonter ces problèmes,Niveau 2,Review,Prise en compte des retours utilisateurs dans la Roadmap produit
La vision n'est pas claire,Niveau 0,Global,"Impact global attendu : Réduire le temps de commercialisation, à améliorer la qualité du produit et à augmenter la satisfaction des utilisateurs."
La vision n'est pas claire,Niveau 1,Product Vision Box,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas claire,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
La vision n'est pas claire,Niveau 3,Lean Canvas,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Objectif non SMART,Niveau 0,Global,"Impact global attendu : Permettre une meilleure clarté et compréhension des objectifs, un meilleur alignement entre les équipes, une amélioration de la mesure de la performance"
Objectif non SMART,Niveau 1,Atelier SMART,Avoir une vision claire par l'équipe sur les objectifs pouvant l'animer et la guider dans la construction du produit/service
Objectif non SMART,Niveau 2,OKR,Permettre un meilleur alignement entre les équipes ainsi qu'une amélioration de la mesure de la performance. Cela peut aider les équipes à comprendre leur contribution à l'entreprise et permettre à l'entreprise de suivre les résultats de manière plus précise
Manque de collaboration,Niveau 1,Delegation Poker,"Clarifier les niveaux de délégation de chaque membre de l'équipe, en évaluant leur degré d'autonomie et de responsabilité dans la réalisation de tâches spécifiques"
La vision ne change pas,Niveau 0,Global,"Impact global attendu : Le produit est développé en prenant en compte les besoins des utilisateurs tout en restant aligné avec la vision du produit. Cela permet d'optimiser la qualité du produit, la satisfaction client et de maximiser les chances de réussite du produit sur le marché."
La vision ne change pas,Niveau 1,Feedback Loop,"Les feedback loops permettent de recueillir des commentaires réguliers de la part des utilisateurs ou des parties prenantes, ce qui permet à l'équipe de développement de comprendre les besoins des utilisateurs et d'ajuster le produit en conséquence. Cela peut conduire à une amélioration de la satisfaction des utilisateurs, une réduction des erreurs et des bugs, et une augmentation de l'adoption du produit."
La vision ne change pas,Niveau 2,Vision Board,"Permettre de mieux comprendre les besoins et les attentes des utilisateurs, de créer une vision partagée de l'équipe sur le produit, d'aligner les priorités et de mieux planifier les itérations du produit"
Mauvais focus du problème,Niveau 0,Global,"Impact global attendu : Visualiser le parcours de l'utilisateur à travers le produit ou le service, identifier les points de friction et de confusion, et trouver des moyens d'améliorer l'expérience globale."
